Client,Round,RÂ² Score
Client 1,2010_2,0.99994302728922
Client 1,2010_3,0.14897823907305308
Client 1,2010_4,0.2706473603011115
Client 1,2010_5,0.4419834451014911
Client 1,2010_6,0.7137051099134597
Client 1,2010_7,0.5518784350442338
Client 1,2010_8,0.6339135052391935
Client 1,2010_9,0.8324256384806873
Client 1,2010_10,0.9898705668919251
Client 1,2010_11,0.9975942537895027
Client 1,2010_12,0.9947534088605556
Client 1,2011_1,0.9973400153485257
Client 1,2011_2,0.9999123175804737
Client 1,2011_3,0.9997509132648507
Client 1,2011_4,0.9997959723059049
Client 1,2011_5,0.9993054873560543
Client 1,2011_6,0.9999363361959552
Client 1,2011_7,0.999883922668681
Client 1,2011_8,0.9984664243264886
Client 1,2011_9,0.9996579251510631
Client 1,2011_10,0.999929924559475
Client 1,2011_11,0.9997670665333412
Client 1,2011_12,0.9999347188689321
Client 1,2012_1,0.9995659294107508
Client 1,2012_2,0.999873851830435
Client 1,2012_3,0.9998099160934278
Client 1,2012_4,0.999931006720495
Client 1,2012_5,0.9996732595035993
Client 1,2012_6,0.9999216212867349
Client 1,2012_7,0.9996103555398402
Client 1,2012_8,0.9995903742591713
Client 2,2010_2,0.019992481044600274
Client 2,2010_3,0.002516692070994364
Client 2,2010_4,-0.003985771086146395
Client 2,2010_5,-0.00394120930779196
Client 2,2010_6,0.01956849464973287
Client 2,2010_7,0.021904349258943245
Client 2,2010_8,0.03559463870930579
Client 2,2010_9,-0.03576727820528003
Client 2,2010_10,0.02510226548267347
Client 2,2010_11,0.02534181635600541
Client 2,2010_12,0.03548355931953173
Client 2,2011_1,0.04599984160196324
Client 2,2011_2,0.04768397380577305
Client 2,2011_3,0.09626256580446801
Client 2,2011_4,0.003084585577933674
Client 2,2011_5,0.06038623942640553
Client 2,2011_6,0.048791513965083855
Client 2,2011_7,0.04340732378210499
Client 2,2011_8,0.042005536309174696
Client 2,2011_9,0.017950976563870236
Client 2,2011_10,0.017132005700217445
Client 2,2011_11,0.05119012614432317
Client 2,2011_12,0.03457671594090439
Client 2,2012_1,0.048987355484140016
Client 2,2012_2,0.050050745018771936
Client 2,2012_3,0.04061467314835476
Client 2,2012_4,0.03422840928901705
Client 2,2012_5,0.05084951327502829
Client 2,2012_6,0.6617225971710151
Client 2,2012_7,0.0513045249234767
Client 2,2012_8,0.04738722473431656
Client 3,2010_2,0.9997311624967034
Client 3,2010_3,0.15010112669965303
Client 3,2010_4,0.1577207809504857
Client 3,2010_5,0.19336015050752642
Client 3,2010_6,0.20328061603071845
Client 3,2010_7,0.2531992834306259
Client 3,2010_8,0.3064480327800633
Client 3,2010_9,0.3733075675449983
Client 3,2010_10,0.6638540538035596
Client 3,2010_11,0.5264063803369896
Client 3,2010_12,0.9178822323799445
Client 3,2011_1,0.9875801085092829
Client 3,2011_2,0.9984203378805283
Client 3,2011_3,0.9997703451947753
Client 3,2011_4,0.9988454793084781
Client 3,2011_5,0.9989887039106636
Client 3,2011_6,0.999061951331642
Client 3,2011_7,0.999670760328628
Client 3,2011_8,0.9997463433559828
Client 3,2011_9,0.9998863291851907
Client 3,2011_10,0.9993632617320571
Client 3,2011_11,0.9998658345915998
Client 3,2011_12,0.9997519439568856
Client 3,2012_1,0.9995148297426065
Client 3,2012_2,0.9981900064985896
Client 3,2012_3,0.9999751119576321
Client 3,2012_4,0.9998675994834847
Client 3,2012_5,0.9997135247983135
Client 3,2012_6,0.9998073671622519
Client 3,2012_7,0.9994183021122109
Client 3,2012_8,0.999977238720934
Client 4,2010_2,0.9995677323624643
Client 4,2010_3,0.06580388558369998
Client 4,2010_4,0.08707226824154124
Client 4,2010_5,0.11381580803117453
Client 4,2010_6,0.18529384839741636
Client 4,2010_7,0.22511246668377904
Client 4,2010_8,0.38393920676721816
Client 4,2010_9,0.24375975567783958
Client 4,2010_10,0.5653405828061198
Client 4,2010_11,0.435005199471713
Client 4,2010_12,0.9153626520652532
Client 4,2011_1,0.937895537321264
Client 4,2011_2,0.9904426925651643
Client 4,2011_3,0.9966473697603625
Client 4,2011_4,0.9989876444026765
Client 4,2011_5,0.9991760271994212
Client 4,2011_6,0.9994848956014158
Client 4,2011_7,0.9996923715821819
Client 4,2011_8,0.999670101923018
Client 4,2011_9,0.9995007882208712
Client 4,2011_10,0.9987750057874291
Client 4,2011_11,0.9998558593011448
Client 4,2011_12,0.9995934418092924
Client 4,2012_1,0.998427156122346
Client 4,2012_2,0.9995871227334446
Client 4,2012_3,0.9995927716603075
Client 4,2012_4,0.999673018571614
Client 4,2012_5,0.9998101104215358
Client 4,2012_6,0.9993406764827498
Client 4,2012_7,0.9994829162535611
Client 4,2012_8,0.9972613465295841
Client 5,2010_2,0.783637821921517
Client 5,2010_3,0.3544298640172625
Client 5,2010_4,0.45930189973276636
Client 5,2010_5,0.6477050055015711
Client 5,2010_6,0.7071139713581764
Client 5,2010_7,0.7952310567755558
Client 5,2010_8,0.944551877759172
Client 5,2010_9,0.9706076981219685
Client 5,2010_10,0.985353328368968
Client 5,2010_11,0.9701335681620052
Client 5,2010_12,0.993124715035546
Client 5,2011_1,0.999957035825245
Client 5,2011_2,0.9708702838999662
Client 5,2011_3,0.9991702285678048
Client 5,2011_4,0.9984624506806314
Client 5,2011_5,0.9990852004626071
Client 5,2011_6,0.9879152405265691
Client 5,2011_7,0.9988634901905141
Client 5,2011_8,0.9996919025950404
Client 5,2011_9,0.9992038281338281
Client 5,2011_10,0.9996456799884096
Client 5,2011_11,0.9986427500590801
Client 5,2011_12,0.9995963777895941
Client 5,2012_1,0.9907150920503127
Client 5,2012_2,0.999822423274377
Client 5,2012_3,0.9975433990879898
Client 5,2012_4,0.9942674205798571
Client 5,2012_5,0.991744039303348
Client 5,2012_6,0.9901725409532
Client 5,2012_7,0.9999623588399275
Client 5,2012_8,0.9999683834995954
Client 6,2010_2,0.9993596235653528
Client 6,2010_3,0.2249786649116614
Client 6,2010_4,0.5531053429669622
Client 6,2010_5,0.5826977444877309
Client 6,2010_6,0.7830233972411169
Client 6,2010_7,0.9877978933712369
Client 6,2010_8,0.998192362354858
Client 6,2010_9,0.9981602354977552
Client 6,2010_10,0.9991492147699105
Client 6,2010_11,0.9996287041284694
Client 6,2010_12,0.9995242963200036
Client 6,2011_1,0.9998953473053647
Client 6,2011_2,0.9997992215119857
Client 6,2011_3,0.999967178687628
Client 6,2011_4,0.9998995064198757
Client 6,2011_5,0.9982489698240249
Client 6,2011_6,0.9999690216966612
Client 6,2011_7,0.9999560651142306
Client 6,2011_8,0.9996454546509107
Client 6,2011_9,0.99985239213756
Client 6,2011_10,0.9998697320662786
Client 6,2011_11,0.9997723771439371
Client 6,2011_12,0.9999580776080058
Client 6,2012_1,0.999995271668529
Client 6,2012_2,0.9999319277776215
Client 6,2012_3,0.999932850294905
Client 6,2012_4,0.9999131784771677
Client 6,2012_5,0.9999336176270546
Client 6,2012_6,0.999978539489277
Client 6,2012_7,0.9997599194267345
Client 6,2012_8,0.999751637334156
Client 7,2010_2,0.9998416131567713
Client 7,2010_3,0.20802292229420083
Client 7,2010_4,0.4550757481745863
Client 7,2010_5,0.4727506470991152
Client 7,2010_6,0.6450276680409961
Client 7,2010_7,0.8854801822365347
Client 7,2010_8,0.9989709901942826
Client 7,2010_9,0.9977883376741231
Client 7,2010_10,0.9996372672300148
Client 7,2010_11,0.9996467651441867
Client 7,2010_12,0.9999182890144134
Client 7,2011_1,0.9998289652148917
Client 7,2011_2,0.9996539138598737
Client 7,2011_3,0.9999335633923029
Client 7,2011_4,0.9996691562128104
Client 7,2011_5,0.9998021822459218
Client 7,2011_6,0.9999676778138241
Client 7,2011_7,0.999958895086564
Client 7,2011_8,0.9997256607185624
Client 7,2011_9,0.9999785945072677
Client 7,2011_10,0.9997814445274519
Client 7,2011_11,0.99973963013775
Client 7,2011_12,0.9999356248476233
Client 7,2012_1,0.9999685936177105
Client 7,2012_2,0.9999833880542999
Client 7,2012_3,0.9998388774715105
Client 7,2012_4,0.9997986654326009
Client 7,2012_5,0.999912676175678
Client 7,2012_6,0.9999137829975028
Client 7,2012_7,0.9999053973389371
Client 7,2012_8,0.9994576171575746
Client 8,2010_2,0.9994333596001574
Client 8,2010_3,0.2589376261056465
Client 8,2010_4,0.6300534414415635
Client 8,2010_5,0.7305320519665699
Client 8,2010_6,0.8843762697822234
Client 8,2010_7,0.9872720381706485
Client 8,2010_8,0.988538549770937
Client 8,2010_9,0.9973000091047405
Client 8,2010_10,0.9989532480883347
Client 8,2010_11,0.9995363471894975
Client 8,2010_12,0.9995323923144426
Client 8,2011_1,0.9997549584084994
Client 8,2011_2,0.9997931499615506
Client 8,2011_3,0.9997456671936998
Client 8,2011_4,0.9997918664201874
Client 8,2011_5,0.9997585556457013
Client 8,2011_6,0.9997593581208035
Client 8,2011_7,0.9993416025681253
Client 8,2011_8,0.9995230546454066
Client 8,2011_9,0.9993622370456428
Client 8,2011_10,0.9998222340160425
Client 8,2011_11,0.9996481732898862
Client 8,2011_12,0.9999249925553679
Client 8,2012_1,0.9999465886410253
Client 8,2012_2,0.9998051857248318
Client 8,2012_3,0.9994537075485402
Client 8,2012_4,0.9999756062187103
Client 8,2012_5,0.9995938549059491
Client 8,2012_6,0.9987590105876605
Client 8,2012_7,0.9998912128330675
Client 8,2012_8,0.9999842490480267
Client 9,2010_2,0.99950986054663
Client 9,2010_3,0.21447114625598018
Client 9,2010_4,0.5308154185465865
Client 9,2010_5,0.7168459443760858
Client 9,2010_6,0.7517208693698939
Client 9,2010_7,0.8149670217884033
Client 9,2010_8,0.9395183627321368
Client 9,2010_9,0.9970112068387408
Client 9,2010_10,0.9991750005407407
Client 9,2010_11,0.9995192541926372
Client 9,2010_12,0.9993584002195458
Client 9,2011_1,0.9996151300649726
Client 9,2011_2,0.9988265060396558
Client 9,2011_3,0.9997835855774215
Client 9,2011_4,0.9997455749438724
Client 9,2011_5,0.999950411614272
Client 9,2011_6,0.9999618627368474
Client 9,2011_7,0.9995611455993387
Client 9,2011_8,0.9998841426257356
Client 9,2011_9,0.9998071694854817
Client 9,2011_10,0.9996064485560964
Client 9,2011_11,0.9999229464135486
Client 9,2011_12,0.9998649190141352
Client 9,2012_1,0.9999623087061611
Client 9,2012_2,0.9998970496471806
Client 9,2012_3,0.9994010917933683
Client 9,2012_4,0.99994130584357
Client 9,2012_5,0.9999533841605143
Client 9,2012_6,0.9999244554923515
Client 9,2012_7,0.999893276264619
Client 9,2012_8,0.9996998659578498
